Temperature,Humidity,Light
23.18,27.272,426.0
23.15,27.2675,429.5
23.15,27.245,426.0
23.15,27.2,426.0
23.1,27.2,426.0
23.1,27.2,419.0
23.1,27.2,419.0
23.1,27.2,419.0
23.1,27.2,419.0
23.075,27.175,419.0
23.075,27.15,419.0
23.1,27.1,419.0
23.1,27.1666666666667,419.0
23.05,27.15,419.0
23.0,27.125,419.0
23.0,27.125,418.5
23.0,27.2,0.0
22.945,27.29,0.0
22.945,27.39,0.0
22.89,27.39,0.0
22.89,27.39,0.0
22.89,27.39,0.0
22.89,27.445,0.0
22.89,27.5,0.0
22.89,27.5,0.0
22.79,27.445,0.0
22.79,27.5,0.0
22.79,27.5,0.0
22.79,27.5,0.0
22.745,27.5,0.0
22.7,27.463333333333303,0.0
22.7,27.5,0.0
22.7,27.5,0.0
22.6666666666667,27.426666666666698,0.0
22.7,27.6,0.0
22.6,27.426666666666698,0.0
22.6,27.39,0.0
22.6,27.356666666666698,0.0
22.6,27.445,0.0
22.6,27.426666666666698,0.0
22.6,27.445,0.0
22.6,27.445,0.0
22.6,27.39,0.0
22.5,27.323333333333302,0.0
22.5,27.445,0.0
22.5,27.5,0.0
22.5,27.445,0.0
22.39,27.29,0.0
22.5,27.5,0.0
22.39,27.34,0.0
22.39,27.356666666666698,0.0
22.39,27.5,0.0
22.39,27.5,0.0
22.39,27.5,0.0
22.39,27.39,0.0
22.39,27.5,0.0
22.34,27.39,0.0
22.39,27.463333333333303,0.0
22.39,27.39,0.0
22.29,27.39,0.0
22.34,27.39,0.0
22.29,27.39,0.0
22.39,27.39,0.0
22.29,27.39,0.0
22.29,27.356666666666698,0.0
22.29,27.34,0.0
22.29,27.39,0.0
22.29,27.34,0.0
22.29,27.34,0.0
22.29,27.39,0.0
22.29,27.29,0.0
22.29,27.29,0.0
22.2675,27.315,0.0
22.2,27.29,0.0
22.245,27.29,0.0
22.2,27.29,0.0
22.2,27.29,0.0
22.2,27.29,0.0
22.245,27.245,0.0
22.2,27.2,0.0
22.2,27.29,0.0
22.2,27.29,0.0
22.2,27.29,0.0
22.15,27.245,0.0
22.2,27.2,0.0
22.15,27.245,0.0
22.2,27.245,0.0
22.1,27.245,0.0
22.1,27.2,0.0
22.1333333333333,27.2,0.0
