Humidity,Temperature,Light,date
27.272,23.18,426.0,2015-02-04 17:51:00
27.2675,23.15,429.5,2015-02-04 17:51:59
27.245,23.15,426.0,2015-02-04 17:53:00
27.2,23.15,426.0,2015-02-04 17:54:00
27.2,23.1,426.0,2015-02-04 17:55:00
27.2,23.1,419.0,2015-02-04 17:55:59
27.2,23.1,419.0,2015-02-04 17:57:00
27.2,23.1,419.0,2015-02-04 17:57:59
27.2,23.1,419.0,2015-02-04 17:58:59
27.175,23.075,419.0,2015-02-04 18:00:00
27.15,23.075,419.0,2015-02-04 18:01:00
27.1,23.1,419.0,2015-02-04 18:02:00
27.1666666666667,23.1,419.0,2015-02-04 18:03:00
27.15,23.05,419.0,2015-02-04 18:04:00
27.125,23.0,419.0,2015-02-04 18:04:59
27.125,23.0,418.5,2015-02-04 18:06:00
27.2,23.0,0.0,2015-02-04 18:07:00
27.29,22.945,0.0,2015-02-04 18:08:00
27.39,22.945,0.0,2015-02-04 18:08:59
27.39,22.89,0.0,2015-02-04 18:10:00
27.39,22.89,0.0,2015-02-04 18:10:59
27.39,22.89,0.0,2015-02-04 18:11:59
27.445,22.89,0.0,2015-02-04 18:13:00
27.5,22.89,0.0,2015-02-04 18:14:00
27.5,22.89,0.0,2015-02-04 18:15:00
27.445,22.79,0.0,2015-02-04 18:16:00
27.5,22.79,0.0,2015-02-04 18:16:59
27.5,22.79,0.0,2015-02-04 18:17:59
27.5,22.79,0.0,2015-02-04 18:19:00
27.5,22.745,0.0,2015-02-04 18:20:00
27.463333333333303,22.7,0.0,2015-02-04 18:21:00
27.5,22.7,0.0,2015-02-04 18:22:00
27.5,22.7,0.0,2015-02-04 18:23:00
27.426666666666698,22.6666666666667,0.0,2015-02-04 18:23:59
27.6,22.7,0.0,2015-02-04 18:24:59
27.426666666666698,22.6,0.0,2015-02-04 18:26:00
27.39,22.6,0.0,2015-02-04 18:27:00
27.356666666666698,22.6,0.0,2015-02-04 18:28:00
27.445,22.6,0.0,2015-02-04 18:29:00
27.426666666666698,22.6,0.0,2015-02-04 18:29:59
27.445,22.6,0.0,2015-02-04 18:30:59
27.445,22.6,0.0,2015-02-04 18:32:00
27.39,22.6,0.0,2015-02-04 18:33:00
27.323333333333302,22.5,0.0,2015-02-04 18:34:00
27.445,22.5,0.0,2015-02-04 18:35:00
27.5,22.5,0.0,2015-02-04 18:36:00
27.445,22.5,0.0,2015-02-04 18:36:59
27.29,22.39,0.0,2015-02-04 18:38:00
27.5,22.5,0.0,2015-02-04 18:39:00
27.34,22.39,0.0,2015-02-04 18:40:00
27.356666666666698,22.39,0.0,2015-02-04 18:40:59
27.5,22.39,0.0,2015-02-04 18:42:00
27.5,22.39,0.0,2015-02-04 18:42:59
27.5,22.39,0.0,2015-02-04 18:43:59
27.39,22.39,0.0,2015-02-04 18:45:00
27.5,22.39,0.0,2015-02-04 18:46:00
27.39,22.34,0.0,2015-02-04 18:47:00
27.463333333333303,22.39,0.0,2015-02-04 18:48:00
27.39,22.39,0.0,2015-02-04 18:49:00
27.39,22.29,0.0,2015-02-04 18:49:59
27.39,22.34,0.0,2015-02-04 18:51:00
27.39,22.29,0.0,2015-02-04 18:52:00
27.39,22.39,0.0,2015-02-04 18:53:00
27.39,22.29,0.0,2015-02-04 18:53:59
27.356666666666698,22.29,0.0,2015-02-04 18:55:00
27.34,22.29,0.0,2015-02-04 18:55:59
27.39,22.29,0.0,2015-02-04 18:56:59
27.34,22.29,0.0,2015-02-04 18:58:00
27.34,22.29,0.0,2015-02-04 18:59:00
