Temperature,Humidity,Temperature
23.18,27.272,23.18
23.15,27.2675,23.15
23.15,27.245,23.15
23.15,27.2,23.15
23.1,27.2,23.1
23.1,27.2,23.1
23.1,27.2,23.1
23.1,27.2,23.1
23.1,27.2,23.1
23.075,27.175,23.075
23.075,27.15,23.075
23.1,27.1,23.1
23.1,27.1666666666667,23.1
23.05,27.15,23.05
23.0,27.125,23.0
23.0,27.125,23.0
23.0,27.2,23.0
22.945,27.29,22.945
22.945,27.39,22.945
22.89,27.39,22.89
22.89,27.39,22.89
22.89,27.39,22.89
22.89,27.445,22.89
22.89,27.5,22.89
22.89,27.5,22.89
22.79,27.445,22.79
22.79,27.5,22.79
22.79,27.5,22.79
22.79,27.5,22.79
22.745,27.5,22.745
22.7,27.463333333333306,22.7
22.7,27.5,22.7
22.7,27.5,22.7
22.6666666666667,27.426666666666694,22.6666666666667
22.7,27.6,22.7
22.6,27.426666666666694,22.6
22.6,27.39,22.6
22.6,27.356666666666694,22.6
22.6,27.445,22.6
22.6,27.426666666666694,22.6
22.6,27.445,22.6
22.6,27.445,22.6
22.6,27.39,22.6
22.5,27.323333333333306,22.5
22.5,27.445,22.5
22.5,27.5,22.5
22.5,27.445,22.5
22.39,27.29,22.39
22.5,27.5,22.5
22.39,27.34,22.39
22.39,27.356666666666694,22.39
22.39,27.5,22.39
22.39,27.5,22.39
22.39,27.5,22.39
22.39,27.39,22.39
22.39,27.5,22.39
22.34,27.39,22.34
22.39,27.463333333333306,22.39
22.39,27.39,22.39
22.29,27.39,22.29
22.34,27.39,22.34
22.29,27.39,22.29
22.39,27.39,22.39
22.29,27.39,22.29
22.29,27.356666666666694,22.29
22.29,27.34,22.29
22.29,27.39,22.29
22.29,27.34,22.29
22.29,27.34,22.29
22.29,27.39,22.29
22.29,27.29,22.29
22.29,27.29,22.29
22.2675,27.315,22.2675
22.2,27.29,22.2
22.245,27.29,22.245
22.2,27.29,22.2
22.2,27.29,22.2
22.2,27.29,22.2
22.245,27.245,22.245
22.2,27.2,22.2
22.2,27.29,22.2
22.2,27.29,22.2
22.2,27.29,22.2
22.15,27.245,22.15
22.2,27.2,22.2
22.15,27.245,22.15
22.2,27.245,22.2
22.1,27.245,22.1
22.1,27.2,22.1
22.1333333333333,27.2,22.1333333333333
22.2,27.2,22.2
22.1,27.2,22.1
22.125,27.2,22.125
22.2,27.2,22.2
22.1,27.15,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.2,22.1
22.1,27.15,22.1
22.0666666666667,27.1666666666667,22.0666666666667
22.1,27.1,22.1
22.0,27.1,22.0
22.0,27.1,22.0
22.05,27.15,22.05
22.0,27.1,22.0
22.0,27.1,22.0
22.0,27.1,22.0
22.0,27.1,22.0
21.9175,27.1,21.9175
21.945,27.1,21.945
21.926666666666694,27.1,21.926666666666694
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.89,27.1,21.89
21.84,27.1,21.84
21.856666666666694,27.1,21.856666666666694
21.79,27.1,21.79
21.79,27.1,21.79
21.79,27.1,21.79
21.79,27.1,21.79
21.79,27.1,21.79
21.79,27.1,21.79
21.79,27.1,21.79
21.79,27.1,21.79
21.745,27.1,21.745
21.7,27.1,21.7
21.76,27.1,21.76
21.745,27.05,21.745
21.79,27.05,21.79
21.73,27.0,21.73
21.745,27.0,21.745
21.745,27.0,21.745
21.745,27.0,21.745
21.7,27.0,21.7
21.7,27.0,21.7
21.7,27.0,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.89,21.7
21.7,26.79,21.7
21.7,26.79,21.7
21.7,26.79,21.7
21.7,26.79,21.7
21.7,26.7675,21.7
21.7,26.79,21.7
21.7,26.79,21.7
21.7,26.79,21.7
21.7,26.7,21.7
21.7,26.7,21.7
21.7,26.7,21.7
21.6,26.7,21.6
21.6,26.6,21.6
21.6,26.65,21.6
21.6,26.6,21.6
21.65,26.65,21.65
21.6,26.55,21.6
21.6,26.5,21.6
21.6,26.5,21.6
21.6,26.5,21.6
21.6,26.5,21.6
21.65,26.55,21.65
21.6,26.5,21.6
21.6,26.445,21.6
21.6,26.4725,21.6
21.6,26.445,21.6
21.6,26.445,21.6
21.6,26.39,21.6
21.6,26.39,21.6
21.6,26.39,21.6
21.6,26.39,21.6
21.6,26.39,21.6
21.575,26.315,21.575
21.6,26.29,21.6
21.6,26.29,21.6
21.55,26.245,21.55
21.55,26.245,21.55
21.5,26.2,21.5
21.5666666666667,26.2,21.5666666666667
21.5,26.2,21.5
21.5,26.2,21.5
21.5,26.15,21.5
21.5,26.15,21.5
21.5,26.1,21.5
21.5,26.1,21.5
21.5,26.1,21.5
21.5,26.1,21.5
21.5,26.05,21.5
21.5,26.1,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,25.89,21.5
21.5,26.0,21.5
21.5,26.0,21.5
21.5,25.926666666666694,21.5
21.5,25.89,21.5
21.5,25.89,21.5
21.5,25.89,21.5
21.5,25.84,21.5
21.5,25.84,21.5
21.5,25.89,21.5
21.5,25.89,21.5
21.5,25.89,21.5
21.4725,25.865,21.4725
21.5,25.84,21.5
21.5,25.79,21.5
21.5,25.79,21.5
21.5,25.79,21.5
21.445,25.745,21.445
21.445,25.745,21.445
21.463333333333303,25.76,21.463333333333303
21.445,25.745,21.445
21.5,25.79,21.5
21.426666666666698,25.73,21.426666666666698
21.39,25.7,21.39
21.39,25.7,21.39
21.445,25.745,21.445
21.5,25.79,21.5
21.39,25.7,21.39
21.445,25.745,21.445
21.445,25.745,21.445
21.39,25.7,21.39
21.5,25.79,21.5
21.39,25.7,21.39
21.426666666666698,25.73,21.426666666666698
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.34,25.7,21.34
21.39,25.7,21.39
21.39,25.7,21.39
21.39,25.7,21.39
21.29,25.7,21.29
21.34,25.7,21.34
21.29,25.7,21.29
21.34,25.7,21.34
21.323333333333302,25.7,21.323333333333302
21.34,25.7,21.34
21.29,25.7,21.29
21.39,25.7,21.39
21.39,25.7,21.39
21.29,25.7,21.29
21.29,25.7,21.29
21.34,25.7,21.34
21.29,25.7,21.29
21.39,25.7,21.39
21.29,25.7,21.29
21.34,25.7,21.34
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.29,25.7,21.29
21.2,25.6,21.2
21.29,25.7,21.29
21.29,25.7,21.29
21.26,25.6666666666667,21.26
21.245,25.65,21.245
21.23,25.6333333333333,21.23
21.29,25.7,21.29
21.2,25.6,21.2
21.2,25.6,21.2
21.245,25.65,21.245
21.245,25.65,21.245
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.6,21.2
21.2,25.55,21.2
21.2,25.5,21.2
21.2,25.5,21.2
21.2,25.5,21.2
21.2,25.5,21.2
21.2,25.5,21.2
21.2,25.5,21.2
21.2,25.445,21.2
21.2,25.5,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
21.2,25.39,21.2
